name,region,address
괴산 삼방리 삼층석탑,충북 괴산군,충청북도 괴산군 불정면 삼방연지길 49
원각사(충북),충북 제천시,충청북도 제천시 의병대로 118
괴산 봉학사지 오층석탑,충북 괴산군,충청북도 괴산군 사리면 사담리
괴산 미륵산성,충북 괴산군,충청북도 괴산군 청천면 고성리
영동 세천재,충북 영동군,충청북도 영동군 매곡면 내오곡길 94-97
진천 이영남 묘소,충북 진천군,충청북도 진천군 덕산읍 기전리
괴산 외사리 당간지주,충북 괴산군,충청북도 괴산군 칠성면 외사리
연제 안승갑 고가,충북 진천군,충청북도 진천군 진천읍 보련골길 46
용담사(충주),충북 충주시,충청북도 충주시 신니면 내포길 27-110
임경업 장군 묘소,충북 충주시,충청북도 충주시 풍동
증평 연병호 생가,충북 증평군,충청북도 증평군 도안면 산정길 21
목은영당,충북 청주시,충청북도 청주시 청원구 충청대로272번길 230-14
영동 삼괴당,충북 영동군,충청북도 영동군 상촌면 임산3길 28-13
진천 신헌 고가,충북 진천군,충청북도 진천군 이월면 논실안길 58-1
영동규당고택,충북 영동군,충청북도 영동군 영동읍 금동로4길 9-9
충주 조동리 지석묘,충북 충주시,충청북도 충주시 동량면 조동리
괴산 송덕리 미선나무 자생지,충북 괴산군,충청북도 괴산군 장연면 송덕리
취묵당,충북 괴산군,충청북도 괴산군 괴산읍 충민사길 45
제천 입석리 선돌,충북 제천시,충청북도 제천시 송학면 입석리
괴산중학교 구 본관,충북 괴산군,충청북도 괴산군 괴산읍 괴산로 3527
계담서원,충북 괴산군,충청북도 괴산군 감물면 감물로이담5길 19
청덕사,충북 괴산군,충청북도 괴산군 불정면 한불로청덕2길 14
중원 문주리 와요지,충북 충주시,충청북도 충주시 대소원면 문주리
괴산 읍내리 은행나무,충북 괴산군,충청북도 괴산군 청안면 청안읍내로3길 8
충주 추평리 삼층석탑,충북 충주시,충청북도 충주시 엄정면 추평리
충주 억정사지 대지국사탑비,충북 충주시,충청북도 충주시 엄정면 비석2길 35-21
송천서원,충북 청주시,충청북도 청주시 청원구 오창읍 오창양지길 22-3
충주 미륵리 오층석탑,충북 충주시,충청북도 충주시 수안보면 미륵리 56
방곡 도예촌,충북 단양군,충청북도 단양군 대강면 선암계곡로 133
충주 단호사 삼층석탑,충북 충주시,충청북도 충주시 충원대로 201
제천 백련사 목조아미타여래좌상,충북 제천시,충청북도 제천시 봉양읍 명암로5길 414
원호 유허비 및 관란정,충북 제천시,충청북도 제천시 송학면 장곡리
하담 김시양 신도비,충북 괴산군,충청북도 괴산군 괴산읍 능촌로 182
여적암(보은),충북 보은군,충청북도 보은군 속리산면 사내1길 407
영모사,충북 충주시,충청북도 충주시 동량면 내동1길
연풍향청,충북 괴산군,충청북도 괴산군 연풍면 중앙로 44
중원 원평리 미륵석불,충북 충주시,충청북도 충주시 신니면 원평리 108
충주 박팽년 사당,충북 충주시,충청북도 충주시 신니면 참샘길 115
괴산 삼방리 마애여래좌상,충북 괴산군,충청북도 괴산군 불정면 삼방리
신륵사(제천),충북 제천시,충청북도 제천시 덕산면 월악산로4길 180
만천하 알파인코스터,충북 단양군,충청북도 단양군 적성면 옷바위길 10
채운암 대웅전,충북 괴산군,충청북도 괴산군 청천면 화양동2길 30
청안 사마소,충북 괴산군,충청북도 괴산군 청안면 청안읍내로5길 33-13
용담폭포,충북 제천시,충청북도 제천시 수산면 상천1길
미륵리 불두,충북 충주시,충청북도 충주시 수안보면 미륵리
중원 미륵리 삼층석탑,충북 충주시,충청북도 충주시 수안보면 미륵리
황정산,충북 단양군,충북 단양군 대강면 직티리
