name,region,address
탑골공원,서울 종로구,서울특별시 종로구 종로 99
봉화산(서울),서울 중랑구,서울특별시 중랑구 신내로21길
응봉산(서울),서울 성동구,서울특별시 성동구 금호동4가 1540
남산공원(서울),서울 중구,서울특별시 중구 삼일대로 231
피노파밀리아,서울 노원구,서울특별시 노원구 중계로 131-17
동대문 문구완구거리,서울 종로구,서울특별시 종로구 종로52길 36
반포 서래섬,서울 서초구,서울특별시 서초구 신반포로11길 40
한강시민공원 이촌지구(이촌한강공원),서울 용산구,서울특별시 용산구 이촌로72길 62
한국전통주연구소,서울 종로구,서울특별시 종로구 자하문로 62
여의천,서울 서초구,서울특별시 서초구 신원동
"서울 의릉(경종,선의왕후) [유네스코 세계문화유산]",서울 성북구,서울특별시 성북구 화랑로32길 146-20
서울 정릉(신덕왕후) [유네스코 세계문화유산],서울 성북구,서울특별시 성북구 아리랑로19길 116
국립민속박물관&국립민속박물관 어린이박물관,서울 종로구,서울특별시 종로구 삼청로 37
키자니아 서울,서울 송파구,서울특별시 송파구 올림픽로 240
사육신공원,서울 동작구,서울특별시 동작구 노량진로 191
홍대 벽화거리,서울 마포구,서울특별시 마포구 상수동
한강시민공원 잠실지구(잠실한강공원),서울 송파구,서울특별시 송파구 한가람로 65
북악산 숙정문,서울 성북구,서울특별시 성북구 대사관로 1
백련사(서울),서울 서대문구,서울특별시 서대문구 백련사길 170-43
키즈오토파크,서울 광진구,서울특별시 광진구 능동로 216
서울 정동교회,서울 중구,서울특별시 중구 정동길 46
마포대교 야경,서울 마포구,서울특별시 마포구 마포동
양재동 화훼공판장 (꽃문화체험관),서울 서초구,서울특별시 서초구 강남대로 27
보라매안전체험관,서울 동작구,서울특별시 동작구 여의대방로20길 33
여의도공원,서울 영등포구,서울특별시 영등포구 여의공원로 120
팹랩 서울,서울 종로구,서울특별시 종로구 청계천로 159
SK텔레콤 New ICT체험관 T.um,서울 중구,서울특별시 중구 을지로 65
도봉산,서울 도봉구,서울특별시 도봉구 도봉산길
삼청공원,서울 종로구,서울특별시 종로구 북촌로 134-3
강남 시티투어 - 트롤리버스,서울 강남구,서울특별시 강남구 압구정로 161
서울 구 러시아공사관,서울 중구,서울특별시 중구 정동길 21-18
서울 태릉(문정왕후)과 강릉(인순왕후) [유네스코 세계문화유산],서울 노원구,서울특별시 노원구 화랑로 681
조계사(서울),서울 종로구,서울특별시 종로구 우정국로 55
