No,name,region,address,경도,위도,상태
330,남양호(남양황라),경기 화성시,경기 화성시 장안면,?,?,실패
338,소래산산림욕장,경기 시흥시,경기 시흥시 신천동,?,?,실패
339,안성맞춤 먹거리타운,경기 안성시,경기도 안성시 당왕동,?,?,실패
340,광교산,경기 수원시,경기도 수원시 장안구 상광교동,?,?,실패
344,광명 영회원(민회빈),경기 광명시,경기도 광명시 노은사동,?,?,실패
352,승전OP,경기 연천군,경기도 연천군 장남면 고랑포리,?,?,실패
355,구봉도 낙조전망대,경기 안산시,경기도 안산시 단원구 대부북동,?,?,실패
364,여주 파사성,경기 여주시,경기도 여주시 대신면 천서리,?,?,실패
366,석룡산,경기 가평군,경기도 가평군 북면,?,?,실패
372,비금계곡,경기 남양주시,경기 남양주시 수동면 내방리,?,?,실패
382,녹수계곡,경기 가평군,경기도 가평군 상면 덕현리,?,?,실패
394,축령산,경기 남양주시,경기 남양주시 수동면,?,?,실패
396,처인성,경기 용인시,경기도 용인시 처인구 남사면 아곡리,?,?,실패
401,바우덕이 묘,경기 안성시,경기도 안성시 서운면 청용리,?,?,실패
407,운암뜰 한식거리,경기 오산시,경기도 오산시 원동,?,?,실패
418,김포 수안산성,경기 김포시,경기도 김포시 대곶면 율생리,?,?,실패
419,월곶포구,경기 시흥시,경기도 시흥시 월곶동,?,?,실패
425,무양산성(무한성),경기 안성시,경기도 안성시 양성면 방신리,?,?,실패
428,인계예술공원,경기 수원시,경기도 수원시 팔달구 동수원로 335,?,?,실패
432,소래산,경기 시흥시,경기도 시흥시 신천동,?,?,실패
433,가학동지석묘,경기 광명시,경기도 광명시 가학동,?,?,실패
435,권관마을,경기 평택시,경기도 평택시 현덕면 평택호2길,?,?,실패
440,부천 원미공원,경기 부천시,경기도 부천시 원미구 소사로 456,?,?,실패
441,대원공원,경기 성남시,경기도 성남시 중원구 하대원동,?,?,실패
444,군남홍수조절지 두루미테마파크,경기 연천군,경기도 연천군 군남면,?,?,실패
452,효자촌 먹거리촌,경기 성남시,경기도 성남시 분당구 서현동,?,?,실패
453,석산계곡,경기 양평군,경기도 양평군 단월면 석산로,?,?,실패
458,망이산성,경기 안성시,경기도 안성시 일죽면,?,?,실패
460,연인산도립공원,경기 가평군,경기도 가평군 가평읍,?,?,실패
461,화성 은행나무마을,경기 화성시,경기도 화성시 양감면 요댕이길,?,?,실패
472,동두천 관광특구,경기 동두천시,경기도 동두천시,?,?,실패
482,분당 어린이천문대,경기 용인시,경기도 용인시 처인구 모현면 오산로 132-1,?,?,실패
489,기흥맛깔촌,경기 용인시,경기도 용인시 기흥구 상갈동,?,?,실패
497,도드람산(저명산),경기 이천시,경기도 이천시 마장면 서이천로,?,?,실패
500,금광호수,경기 안성시,경기도 안성시 금광면,?,?,실패
508,화운사,경기 용인시,경기도 용인시 처인구 동백죽전대로 111-14,?,?,실패
514,양주 대모산성,경기 양주시,경기도 양주시 어둔동,?,?,실패
526,한국지역난방공사 고양지사,경기 고양시,경기도 고양시 일산동구 경의로,?,?,실패
533,안양천,경기 안양시,경기도 안양시 만안구 석수로,?,?,실패
536,성혼선생묘,경기 파주시,경기도 파주시 파주읍 향양리,?,?,실패
537,창우동 한식마을,경기 하남시,경기도 하남시 충군동,?,?,실패
539,현등산 (운악산),경기 가평군,경기 가평군 하면 운악청계로 589번길 73,?,?,실패
543,유명산,경기 가평군,경기도 가평군 설악면,?,?,실패
547,평택 가스홍보관,경기 평택시,경기도 평택시 포승읍 남양만로,?,?,실패
549,구리 명빈묘,경기 구리시,경기도 구리시 아천동,?,?,실패
551,별망성지,경기 안산시,경기도 안산시 단원구 초지동,?,?,실패
559,나만갑선생신도비,경기 구리시,경기도 구리시 사노동,?,?,실패
572,주말농장 한식마을,경기 화성시,경기도 화성시 봉담읍 수기리,?,?,실패
575,약사사(경기),경기 성남시,경기 성남시 중원구 은행2동,?,?,실패
583,용추폭포,경기 가평군,경기도 가평군 가평읍 승안리,?,?,실패
590,설봉산,경기 이천시,경기도 이천시 관고동,?,?,실패
593,포천 반월성,경기 포천시,경기도 포천시 군내면 구읍리,?,?,실패
595,상승OP(제1땅굴),경기 연천군,경기도 연천군 백학면 백령리,?,?,실패
596,삼성산,경기 안양시,경기 안양시 만안구 석수동,?,?,실패
600,용강서원,경기 고양시,경기도 고양시 일산동구 감내길,?,?,실패
605,발랑저수지,경기 파주시,경기도 파주시 광탄면 발랑리,?,?,실패
608,백봉산,경기 남양주시,"경기도 남양주시 금곡동, 평내동, 와부읍, 화도읍",?,?,실패
620,남이장군묘 (화성),경기 화성시,경기도 화성시 비봉면 남이로,?,?,실패
621,고송정지,경기 안산시,경기도 안산시 단원구 화정동,?,?,실패
628,파주 오두산성,경기 파주시,경기도 파주시 탄현면 성동리,?,?,실패
635,여주 양화나루,경기 여주시,경기도 여주시 능서면 내양리,?,?,실패
643,능골공원,경기 성남시,경기도 성남시 분당구 정자동,?,?,실패
