name,region,address,Latitude,Longitude
"신광장 (5, 10일)",경북 포항시,경상북도 포항시 북구 신광면,36.1300728,129.263012
하회동탈방,경북 안동시,경상북도 안동시 풍천면 전서로 206,36.5489318,128.5276949
국악기 유림,경북 칠곡군,경상북도 칠곡군 지천면 금호로1길 2-25,35.9576565,128.4455587
"길안장 / 천지장 (5, 10일)",경북 안동시,경상북도 안동시 길안면 천지리 778-1,36.4577687,128.8925783
신라토기,경북 영천시,경상북도 영천시 북안면 유상길 237-5,35.9190112,128.9749772
토함산도예,경북 경주시,경상북도 영천시 북안면 유상길 237-5,35.9190112,128.9749772
"청하장 (1, 6일)",경북 포항시,경상북도 포항시 북구 청하면 청하로200번길 4,36.1969393,129.3398209
"동곡장 (1, 6일)",경북 청도군,경상북도 청도군 금천면 금천로 41-2,35.692225,128.8909101
"자인장 (3, 8일)",경북 경산시,경상북도 경산시 자인면 자인시장1길 12,35.8168932,128.8233863
후생시장,경북 영주시,경상북도 영주시 영주동 337-20,36.8259686,128.6229013
