title,location,Latitude,Longitude,stars,key_words
대관령양떼목장,강원 평창군 대관령면 대관령마루길 483-32 대관령양떼목장,37.6895149,128.7530132,4.43,"['깨끗한', '이국적', '목가적인', '웅장한', '평화로운', '커피거리', '양고기', '목장', '풍력발전소', '양꼬치', '가족여행', '커플여행', '가을여행', '등산', '기차여행']"
장호항,강원 삼척시 근덕면 장호리,37.2709132,129.3100705,4.25,"['재미있는', '화려한', '아담한', '깨끗한', '이국적', '투명카누', '해변', '스노클링', '카약', '레일바이크', '가족여행', '경치', '드라이브', '비오는날', '기차여행']"
경포해변,강원 강릉시 강문동 산1-1,37.8021006,128.9113929,4.21,"['재미있는', '낭만적인', '깨끗한', '화려한', '편안한', '커피거리', '밤바다', '해변', '조개구이', '느린우체통', '가족여행', '경치', '커플여행', '드라이브', '기차여행']"
하슬라아트월드,강원 강릉시 강동면 율곡로 1441,37.7067534,129.0109857,4.38,"['재미있는', '분위기좋은', '감각적인', '몽환적인', '편안한', '커피거리', '미술관', '레스토랑', '박물관', '공원', '경치', '데이트', '힐링', '등산', '기차여행']"
오죽헌,강원 강릉시 율곡로3139번길 24 오죽헌,37.7794333,128.8781398,4.46,"['재미있는', '고즈넉한', '기품있는', '옛모습', '소박한', '커피거리', '대나무', '박물관', '해변', '공방거리', '가족여행', '경치', '유적', '나들이', '촬영지']"
속초해수욕장,강원 속초시 조양동 속초해수욕장,38.1905722,128.6035425,3.94,"['재미있는', '조그마한', '깨끗한', '편안한', '운치있는', '물회', '밤바다', '해변', '아바이순대', '오징어순대', '가족여행', '경치', '커플여행', '드라이브', '주말여행']"
안목해변,강원 강릉시 창해로14번길 20-1,37.7725933,128.9472775,4.21,"['분위기있는', '깨끗한', '분위기좋은', '편안한', '운치있는', '커피거리', '해변', '짬뽕순두부', '목장', '횟집', '힐링', '경치', '드라이브', '주말여행', '가족여행']"
환선굴,강원 삼척시 신기면 환선로 800 대이동굴관리소,37.3255799,129.0171309,4.41,"['재미있는', '화려한', '신비한', '웅장한', '깨끗한', '계곡', '물닭갈비', '모노레일', '동굴', '폭포', '가족여행', '경치', '힐링', '등산', '기차여행']"
아바이마을,강원 속초시 청호로 122,38.2005926,128.5947703,4.11,"['재미있는', '깨끗한', '소박한', '옛모습', '평화로운', '명태회냉면', '해변', '수산시장', '아바이순대', '오징어순대', '가족여행', '경치', '싱싱한', '힐링', '촬영지']"
안반데기,강원 강릉시 왕산면 안반덕길 428,37.622629,128.7396824,4.5,"['멋스런', '이국적', '화려한', '편안한', '평화로운', '계곡', '라이딩', '전망대', '일몰', '캠핑', '힐링', '경치', '드라이브', '등산', '산행']"
