title,location,stars,key_words
대관령양떼목장,강원 평창군 대관령면 대관령마루길 483-32 대관령양떼목장,4.43,"['깨끗한', '이국적', '목가적인', '웅장한', '평화로운', '커피거리', '양고기', '목장', '풍력발전소', '양꼬치', '가족여행', '커플여행', '가을여행', '등산', '기차여행']"
장호항,강원 삼척시 근덕면 장호리,4.26,"['재미있는', '화려한', '아담한', '깨끗한', '이국적', '투명카누', '해변', '스노클링', '카약', '레일바이크', '가족여행', '경치', '드라이브', '비오는날', '기차여행']"
경포해변,강원 강릉시 강문동 산1-1,4.21,"['재미있는', '낭만적인', '깨끗한', '화려한', '편안한', '커피거리', '밤바다', '해변', '조개구이', '느린우체통', '가족여행', '경치', '커플여행', '드라이브', '기차여행']"
하슬라아트월드,강원 강릉시 강동면 율곡로 1441,4.37,"['재미있는', '분위기좋은', '감각적인', '몽환적인', '편안한', '커피거리', '미술관', '레스토랑', '박물관', '공원', '경치', '데이트', '힐링', '등산', '기차여행']"
오죽헌,강원 강릉시 율곡로3139번길 24 오죽헌,4.46,"['재미있는', '고즈넉한', '기품있는', '옛모습', '소박한', '커피거리', '대나무', '박물관', '해변', '공방거리', '가족여행', '경치', '유적', '나들이', '촬영지']"
