name,region,address,lat,lon
합강공원 오토캠핑장,세종 한솔동,세종특별자치시 연기면 태산로 329,36.5163355,127.337575
세종에머슨 컨트리클럽,세종 한솔동,세종특별자치시 전의면 운주산로 1510,36.6973629,127.1763612
세종승마클럽&아카데미,세종 한솔동,세종특별자치시 연서면 세종로 2156-9,36.5789658,127.2936685
