name,region,address,lon,lat,상태
신무동마애불좌상,대구 동구,대구광역시 동구 용천로 427,128.6716686,35.98771298,정좌표
신숭겸장군유적,대구 동구,대구광역시 동구 신숭겸길 17,128.6419991,35.94286215,정좌표
아양기찻길,대구 동구,대구광역시 동구 해동로 82,128.6383134,35.89030636,정좌표
아이니테마파크(대구 스타디움점),대구 수성구,대구광역시 수성구 유니버시아드로 140,128.6873258,35.83166017,정좌표
안일사(대구),대구 남구,대구광역시 남구 대명동,128.5768732,35.840491,실패
안지랑 곱창골목,대구 남구,대구광역시 남구 안지랑로16길 67,128.5751546,35.83685763,정좌표
앞산전망대 (앞산케이블카),대구 남구,대구광역시 남구 앞산순환로 574-114,128.5871356,35.82436346,정좌표
앞산카페거리,대구 남구,대구광역시 남구 대명로 지하 141,128.5731748,35.83926566,정좌표
에코테마파크 대구숲,대구 달성군,대구광역시 달성군 가창면 가창로 1003,128.6270534,35.7944998,정좌표
열락당,대구 달서구,대구광역시 달서구 상인로 134-13,128.5452378,35.81869677,정좌표
영남제일관,대구 수성구,대구광역시 수성구 팔현길 248,128.6582657,35.87526816,정좌표
영영축성비,대구 수성구,대구광역시 수성구 팔현길 248,128.6582657,35.87526816,정좌표
예연서원,대구 달성군,대구광역시 달성군 유가읍 구례길 123,128.4700309,35.65603877,정좌표
오천서원,대구 수성구,대구광역시 수성구 파동로2안길 20,128.6304127,35.80616277,정좌표
옥연지 송해공원,대구 달성군,대구광역시 달성군 옥포읍,128.463792,35.7896321,실패
옹기종기행복마을,대구 동구,대구광역시 동구 입석동,128.647673,35.892118,실패
와룡산(대구),대구 달서구,대구광역시 달서구 선원로33안길 66,128.5132504,35.86217193,정좌표
용강서원,대구 달서구,대구광역시 달서구 선원로33길 101,128.5144226,35.86169539,정좌표
용문사(대구),대구 달성군,대구광역시 달성군 화원읍 화원휴양림길 132,128.5389561,35.76909122,정좌표
용연사(대구),대구 달성군,대구광역시 달성군 옥포면 용연사길 260,128.5211241,35.7481597,실패
용호서원,대구 달성군,대구광역시 달성군 다사읍 서재본4길 18-27,128.4936964,35.87480616,정좌표
운암지 수변공원,대구 북구,대구광역시 북구 구암동,128.568679,35.932496,실패
운흥사(대구),대구 달성군,대구광역시 달성군 가창면 헐티로 1068,128.6034152,35.78030517,정좌표
원호루,대구 달성군,대구광역시 달성군 현풍면 현풍동로 92,128.4519775,35.69888216,실패
육신사,대구 달성군,대구광역시 달성군 하빈면 육신사길 64,128.416533,35.91137567,정좌표
은적사(대구),대구 남구,대구광역시 남구 앞산순환로 574-120,128.5897623,35.82336931,정좌표
읍내동 마애불상,대구 북구,대구광역시 북구 칠곡중앙대로129길 169-3,128.5434172,35.9637291,정좌표
이강서원,대구 달성군,대구광역시 달성군 다사읍 이천리 277,128.4629245,35.88687113,정좌표
이공제비 및 군수이후범선영세불망비,대구 수성구,대구광역시 수성구 신천동로 117,128.6065841,35.83557834,정좌표
이상화 고택,대구 중구,대구광역시 중구 서성로 6-1,128.5880177,35.86726435,정좌표
이양서원,대구 달성군,대구광역시 달성군 현풍면 삼강3길 23,128.4219072,35.66579138,실패
이월드,대구 달서구,대구광역시 달서구 두류공원로 200,128.561187,35.85460178,정좌표
이월드 83타워,대구 달서구,대구광역시 달서구 두류공원로 200,128.561187,35.85460178,정좌표
이천동 99계단 벽화마을,대구 남구,대구광역시 남구 이천로29길 28-1,128.5969835,35.85337987,정좌표
인동촌 아나고골목,대구 서구,대구광역시 서구 북비산로74길 49,128.577843,35.87678868,정좌표
인산정사,대구 달서구,대구광역시 달서구 상인로18길 29,128.5486104,35.81567867,정좌표
인흥마을,대구 달성군,대구광역시 달성군 화원읍 인흥3길 16,128.5178996,35.7924048,정좌표
인흥서원,대구 달성군,대구광역시 달성군 화원읍 인흥2길 26,128.5156956,35.78964765,정좌표
