No,name,region,address,경도,위도,상태
573,괴산 율지리 미선나무 자생지,충북 괴산군,충청북도 괴산군 칠성면 율지리,?,?,실패
583,제천 송계리 대불정주 범자비,충북 제천시,충청북도 제천시 한수면 송계리,?,?,실패
585,백화산,충북 영동군,충청북도 영동군 황간면 우매리,?,?,실패
586,충강공 이상급 신도비,충북 충주시,충청북도 충주시 주덕읍 사락리,?,?,실패
592,제천 소악사지 삼층석탑,충북 제천시,충청북도 제천시 송학면,?,?,실패
599,중원 미륵리 석등,충북 충주시,충청북도 충주시 수안보면 미륵리,?,?,실패
600,영동 추풍령 전적 및 장지현 순절비,충북 영동군,충청북도 영동군 추풍령면,?,?,실패
602,장암 정호 묘소,충북 괴산군,충청북도 괴산군 불정면 지장리,?,?,실패
603,충주 신청리 지석묘,충북 충주시,충청북도 충주시 신니면 신청리,?,?,실패
610,제천 시곡리 석조여래입상,충북 제천시,충청북도 제천시 송학면 시곡리,?,?,실패
617,낙영산,충북 괴산군,충청북도 괴산군 청천면 고성리,?,?,실패
618,갈기산,충북 영동군,충청북도 영동군 양산면 호탄리,?,?,실패
619,백악산,충북 괴산군,충청북도 괴산군 청천면 사담리,?,?,실패
