name,region,address,lon,lat,상태
일광해수욕장,부산 기장군,부산광역시 기장군 일광면 삼성리,129.2313239,35.26638202,실패
임랑해수욕장,부산 기장군,부산광역시 기장군 장안읍 임랑리,129.2576094,35.31953879,실패
자성대공원,부산 동구,부산광역시 동구 자성로 99,129.060452,35.13574487,정좌표
장림포구,부산 사하구,부산광역시 사하구 장림로93번길 72,128.9513987,35.07913004,정좌표
장산 (부산 국가지질공원),부산 해운대구,부산광역시 해운대구 좌동 1390,129.168181,35.18108261,정좌표
장산명소,부산 해운대구,부산광역시 해운대구 반어동,129.14469,35.194527,실패
장안사(부산),부산 기장군,부산광역시 기장군 장안읍 장안로 482,129.2328844,35.37480506,정좌표
재난안전체험관,부산 금정구,부산광역시 금정구 체육공원로399번길 324,129.1060572,35.29297614,정좌표
재한유엔기념공원 (UN기념공원),부산 남구,부산광역시 남구 대연동,129.096767,35.128128,실패
전포카페거리,부산 부산진구,부산광역시 부산진구 전포대로209번길 26,129.0630949,35.15629452,정좌표
절영해안산책로,부산 영도구,부산광역시 영도구 해안산책길 52,129.0412082,35.08114476,정좌표
정수암(부산),부산 금정구,부산광역시 금정구 북문로 160,129.048599,35.26024498,정좌표
조방해수탕,부산 부산진구,부산광역시 부산진구 자유평화로37번길 15-19,129.0625648,35.14185426,정좌표
좌수영성지,부산 수영구,부산광역시 수영구 수영성로 43,129.1139538,35.17121167,정좌표
죽성성당(드림세트장),부산 기장군,부산광역시 기장군 기장읍 죽성리 134-7,129.2479102,35.2411728,정좌표
중앙해수랜드,부산 남구,부산광역시 남구 용호로 64,129.1106323,35.12560901,정좌표
척판암(부산),부산 기장군,부산광역시 기장군 장안읍 장안로 490-156,129.2239952,35.37445109,정좌표
청량사(부산),부산 강서구,부산광역시 기장군 철마면 임밖길 12,129.1758381,35.23878444,정좌표
청사포,부산 해운대구,부산광역시 해운대구 중동,129.19277,35.16069,실패
청사포 다릿돌전망대,부산 해운대구,부산광역시 해운대구 청사포로 167,129.196738,35.164095,정좌표
초량 이바구길,부산 동구,부산광역시 동구 초량상로 49,129.0359012,35.11609917,정좌표
초량교회,부산 동구,부산광역시 동구 초량상로 53,129.0365327,35.11700288,정좌표
충렬사,부산 동래구,부산광역시 동래구 충렬대로 345,129.0961107,35.20109052,정좌표
충렬탑(부산 충렬사),부산 동래구,부산광역시 동래구 충렬대로 345,129.0961107,35.20109052,정좌표
친환경 스카이웨이 전망대(이바구길),부산 동구,부산광역시 동구 초량동,129.0363325,35.11571241,실패
키자니아 부산,부산 해운대구,부산광역시 해운대구 센텀4로 15,129.1282903,35.16986121,정좌표
태종대 (부산 국가지질공원),부산 영도구,부산광역시 영도구 전망로 24,129.0797564,35.05969281,정좌표
태종대 곤포유람선,부산 영도구,부산광역시 영도구 전망로 24,129.0797564,35.05969281,정좌표
태종대 전망대,부산 영도구,부산광역시 영도구 전망로 24,129.0797564,35.05969281,정좌표
태종대명소,부산 영도구,부산광역시 영도구 동삼동 일대,129.0798057,35.05969496,실패
태종대온천찜질방,부산 영도구,부산광역시 영도구 태종로 808,129.0803152,35.06465461,정좌표
태종사,부산 영도구,부산광역시 영도구 전망로 119,129.0888081,35.05636598,정좌표
토암도자기공원,부산 기장군,부산광역시 기장군 기장읍 대변로 107-27,129.2250802,35.22873295,정좌표
팬스타부산주말원나잇크루즈,부산 동구,부산광역시 동구 충장대로 206,129.0491451,35.11774735,정좌표
평화공원,부산 남구,부산광역시 남구 신선로447번길 10,129.0995489,35.1252813,정좌표
해동 용궁사(부산),부산 기장군,부산광역시 기장군 기장읍 용궁길 86,129.2235452,35.18835523,정좌표
해운대 관광특구,부산 해운대구,부산 해운대구,129.1635961,35.16306667,실패
해운대 달맞이길,부산 해운대구,부산광역시 해운대구 달맞이길 190,129.1825196,35.15765518,정좌표
해운대 동백섬,부산 해운대구,부산광역시 해운대구 동백로 67,129.1540428,35.15599285,정좌표
해운대레저찜질방,부산 해운대구,부산광역시 해운대구 해운대로 814,129.1776775,35.16957715,정좌표
해운대온천센터,부산 해운대구,부산광역시 해운대구 중동2로 16,129.1703273,35.17065911,인근좌표
해운대해수욕장,부산 해운대구,부산광역시 해운대구 해운대해변로 264,129.160284,35.15910703,정좌표
해월정,부산 해운대구,부산광역시 해운대구 중동,129.181651,35.156818,실패
허브랑야생화,부산 금정구,부산광역시 금정구 북문로 73,129.0519071,35.25422952,정좌표
허심청,부산 동래구,부산광역시 동래구 금강공원로20번길 23,129.0818704,35.21946372,정좌표
혜원정사,부산 연제구,부산광역시 연제구 고분로68번길 47,129.0912996,35.18356819,정좌표
호천마을,부산 부산진구,부산광역시 부산진구 엄광로 491,129.0512136,35.14421584,정좌표
홍법사(부산),부산 금정구,부산광역시 금정구 두구로33번길 202,129.1095881,35.30406263,정좌표
화명생태공원,부산 북구,부산광역시 북구 화명동,129.0035,35.226687,실패
황령산,부산 남구,부산광역시 남구 황령산로 391-39,129.0826959,35.1578872,정좌표
회동수원지,부산 금정구,부산광역시 금정구 개좌로 147,129.1166143,35.22520416,정좌표
