name,region,address
경주 법흥왕릉,경북 경주시,경상북도 경주시 효현동 63
경주 보문관광단지,경북 경주시,경상북도 경주시 신평동
경주 불국사 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 385
경주 산에들레마을,경북 경주시,경상북도 경주시 양남면 산에들레안길
경주 서악동 고분군,경북 경주시,경상북도 경주시 능남길 28
경주 서출지,경북 경주시,경상북도 경주시 남산1길 17
경주 석굴암 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 873-243
경주 석빙고,경북 경주시,경상북도 경주시 월성동 문천길 5
경주 선덕여왕릉,경북 경주시,경상북도 경주시 배반동
경주 성덕왕릉,경북 경주시,경상북도 경주시 조양동 산8
경주 신무왕릉,경북 경주시,경상북도 경주시 후곡안길 13
경주 신문왕릉,경북 경주시,경상북도 경주시 배반동 453-1
경주 쌈밥거리,경북 경주시,경상북도 경주시 계림로 9
경주 양남 주상절리 전망대,경북 경주시,경상북도 경주시 양남면 읍천리
경주 양동 무첨당,경북 경주시,경상북도 경주시 강동면 양동마을안길 32-19
경주 양동마을 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 강동면 양동마을길 93
경주 오릉,경북 경주시,경상북도 경주시 금성로 38-9
경주 원성왕릉,경북 경주시,경상북도 경주시 외동읍 신계입실길 139
경주 월성(반월성),경북 경주시,경상북도 경주시 인왕동
경주 유연정,경북 경주시,경상북도 경주시 강동면 사라길 79-19
경주 율동 마애여래삼존입상,경북 경주시,경상북도 경주시 두대안길 69
경주 이견대,경북 경주시,경상북도 경주시 감포읍 대밑길 12-14
경주 일성왕릉,경북 경주시,경상북도 경주시 탑동
경주 장항리 서 오층석탑,경북 경주시,경상북도 경주시 양북면 장향리
경주 재매정,경북 경주시,경상북도 경주시 재매정길 47
경주 정강왕릉,경북 경주시,경상북도 경주시 남산동 산53
경주 정혜사지 십삼층석탑,경북 경주시,경상북도 경주시 안강읍 옥산서원길 327-4
경주 지마왕릉,경북 경주시,경상북도 경주시 배동 30
경주 진덕여왕릉,경북 경주시,경상북도 경주시 현곡면 오류리
경주 첨성대,경북 경주시,경상북도 경주시 첨성로 140-25
경주 최준선생 생가 (경주최부자댁),경북 경주시,경상북도 경주시 교촌안길 27-40
경주 탈해왕릉,경북 경주시,경상북도 경주시 산업로 4152-10
경주 포석정지,경북 경주시,경상북도 경주시 남산순환로 816
경주 헌강왕릉,경북 경주시,경상북도 경주시 새남산길 62
경주 헌덕왕릉,경북 경주시,경상북도 경주시 알천북로 473-17
경주 황룡사지,경북 경주시,경상북도 경주시 임해로 64-19
경주 황리단길,경북 경주시,경상북도 경주시 포석로 1080
경주 효공왕릉,경북 경주시,경상북도 경주시 배반동
경주 효소왕릉,경북 경주시,경상북도 경주시 조양동
경주 흥덕왕릉,경북 경주시,경상북도 경주시 안강읍 육통길 190-30
경주국립공원,경북 경주시,경상북도 경주시 천북남로 12
경주능지탑지,경북 경주시,경상북도 경주시 능말길 38-6
경주민속공예촌,경북 경주시,경상북도 경주시 보불로 230
경주배리석불입상,경북 경주시,경상북도 경주시 포석로 682-27
경주석장동암각화,경북 경주시,경상북도 경주시 석장동
경주세계문화엑스포공원,경북 경주시,경상북도 경주시 경감로 614
경주시 관광특구,경북 경주시,경상북도 경주시 경감로 614
경주역사유적지구[유네스코 세계문화유산],경북 경주시,경상북도 경주시 태종로 757
경주월드 어뮤즈먼트,경북 경주시,경상북도 경주시 보문로 544
경주월드 캘리포니아비치,경북 경주시,경상북도 경주시 보문로 544
경주향교,경북 경주시,경상북도 경주시 교촌안길 27-8
경천대랜드,경북 상주시,경상북도 상주시 사벌면 경천로 644
경흥사(경산),경북 경산시,경상북도 경산시 남천면 모골길 196-55
계림사(김천),경북 김천시,경상북도 김천시 개령면 동부1길 212
고래불 해안 (경북 동해안 국가지질공원),경북 영덕군,경상북도 영덕군 병곡면 병곡리
고래불해수욕장,경북 영덕군,경상북도 영덕군 병곡면 고래불로 394
고령 고아리 벽화 고분,경북 고령군,경상북도 고령군 대가야읍 고아리
고령 대가야유적지,경북 고령군,경상북도 고령군 대가야읍 대가야로 1203
고령 신촌숲,경북 고령군,경상북도 고령군 쌍림면 신촌길 39-5
고령 장기리 암각화,경북 고령군,경상북도 고령군 대가야읍 아래알터길 15-5
고령 주산성,경북 고령군,경상북도 고령군 고령읍 중화리
고령 지산동 고분군,경북 고령군,경상북도 고령군 고령읍 지산리
고령 지산리 당간지주,경북 고령군,경상북도 고령군 대가야읍 지산리
고령안화리암각화,경북 고령군,경상북도 고령군 쌍림면 안화리 산1
고령예마을,경북 고령군,경상북도 고령군 덕곡면 덕운로 816
고령향교,경북 고령군,경상북도 고령군 대가야읍 향교길 29-18
고모산성,경북 문경시,경상북도 문경시 마성면 신현리
고산서원,경북 울진군,경상북도 울진군 근남면 주천대길 27-6
고산서원,경북 안동시,경상북도 안동시 남후면 암산1길 53-1
고산정,경북 안동시,경상북도 안동시 도산면 가송길 177-42
고석사(포항),경북 포항시,경상북도 포항시 남구 장기면 방산로 526
고운사(의성),경북 의성군,경상북도 의성군 단촌면 고운사길 415
고천서원,경북 영천시,경상북도 영천시 임고면 고천길 64-4
곤산서원,경북 칠곡군,경상북도 칠곡군 약목면 신유로 60
