name,region,address,lat,lon
울산문화예술회관,울산 남구,울산광역시 남구 번영로 200,35.54288781,129.3270938
장생포 고래박물관,울산 남구,울산광역시 남구 장생포고래로 244,35.50273782,129.38079
현대자동차 문화회관,울산 북구,울산광역시 북구 염포로 601,35.53819195,129.3882444
울산암각화박물관,울산 울주군,울산광역시 울주군 두동면 반구대안길 254,35.60806072,129.1705539
울산동부도서관,울산 동구,울산광역시 동구 봉수로 505,35.52820466,129.4250753
울산해양박물관,울산 울주군,울산광역시 울주군 서생면 해맞이로 1251,35.36165466,129.3546962
울산대곡박물관,울산 울주군,울산광역시 울주군 두동면 서하천전로 257,35.61909806,129.1691895
울주문화예술회관,울산 울주군,울산광역시 울주군 범서읍 천상중앙길 36,35.56443091,129.2320729
태화강생태관,울산 울주군,울산광역시 울주군 범서읍 구영로 31,35.57977324,129.2371889
약사동 제방유적전시관,울산 중구,울산광역시 중구 종가14길 22-28,35.5762564,129.3369722
외솔 최현배선생 생가 기념관,울산 중구,울산광역시 중구 병영12길 15,35.57475583,129.3474679
울산 남구문화원,울산 남구,울산광역시 남구 번영로 224,35.5453121,129.3255351
울산박물관,울산 남구,울산광역시 남구 두왕로 277,35.52713607,129.3086925
울산남부도서관,울산 남구,울산광역시 남구 거마로13번길 6,35.53591565,129.2949966
현대예술관,울산 동구,울산광역시 동구 명덕로 10,35.52285828,129.4316888
한마음회관,울산 동구,울산광역시 동구 바드래1길 30,35.51873996,129.4271119
울산 동구문화원,울산 동구,울산광역시 동구 화진6길 4,35.49373132,129.4245772
울산북구문화예술회관,울산 북구,울산광역시 북구 산업로 1000,35.58132726,129.3614066
KBS 울산홀,울산 남구,울산광역시 남구 번영로 212,35.54452799,129.3263761
가족문화센터,울산 남구,울산광역시 남구 대공원로 84,35.53196171,129.2905417
울산북구문화원,울산 북구,울산광역시 북구 산업로 1104,35.59482421,129.3575155
울산 옹기박물관,울산 울주군,울산광역시 울주군 온양읍 외고산3길 36,35.43506769,129.2795067
울산울주도서관,울산 울주군,울산광역시 울주군 언양읍 언양로 109,35.55843779,129.137733
울주문화원,울산 울주군,울산광역시 울주군 온양읍 외고산1길 4-19,35.43641573,129.2809508
